bucket,n_players,median_naive_surplus,total_naive_surplus
rookie_scale,74,2196614.9306108304,432418611.4723581
min,41,8786370.707449999,492292941.14956546
max,34,-77104505.9574472,-2633699679.2927017
open_negotiation,127,-16124568.6165,-2636898955.9992723
