Player,Tm,Age,MP,WA_z,bucket,salary_25,years,npv,tier,multiplier,npv_effective
Josh Okogie,HOU,27,1354.0,-0.3014134564694525,min,2296274.0,1,-1245727.5507870794,first_apron,2.3,-2865173.366810282
Kobe Sanders,LAC,23,1351.0,-0.7811606792590594,rookie_scale,475497.0,2,-4441147.644734717,taxpayer,2.0,-8882295.289469434
Derrick Jones Jr.,LAC,28,1350.0,-0.1962633802415934,open_negotiation,10000000.0,2,-17045602.27117386,taxpayer,2.0,-34091204.54234772
Aaron Nesmith,IND,26,1335.0,-0.9848889519505364,open_negotiation,11000000.0,4,-63342939.365619585,above_cap_below_tax,1.0,-63342939.365619585
Kris Murray,POR,25,1333.0,-0.4279221419310954,min,3132000.0,2,-7163652.684990132,above_cap_below_tax,1.0,-7163652.684990132
Stephen Curry,GSW,37,1329.0,0.9045264802688059,max,59606817.0,2,-108235669.13257635,first_apron,2.8,-303059873.5712137
Jordan Miller,LAC,26,1325.0,0.05182508085851149,min,712637.0,2,1807837.7973824996,taxpayer,2.0,3615675.594764999
Drake Powell,BRK,20,1320.0,-1.4712080545043844,rookie_scale,3372240.0,4,-33330015.307859197,below_cap,0.5,-16665007.653929599
Jericho Sims,MIL,27,1318.0,-0.5297862782768339,min,2461463.0,2,-4857916.003096167,above_cap_below_tax,1.0,-4857916.003096167
Dean Wade,CLE,29,1318.0,-0.05825390519252844,open_negotiation,6623456.0,1,-4567942.633215544,second_apron,3.1,-14160622.162968187
Isaiah Stewart,DET,24,1317.0,0.10604308891350117,open_negotiation,15000000.0,3,-35055338.63331069,above_cap_below_tax,1.0,-35055338.63331069
Egor DÑmin,BRK,19,1308.0,-0.6858684226775622,rookie_scale,6889200.0,4,-33690700.71410764,below_cap,0.5,-16845350.35705382
Alex Sarr,WAS,20,1305.0,-0.215979019534317,rookie_scale,11808240.0,3,-34057093.316725835,above_cap_below_tax,1.0,-34057093.316725835
Yves Missi,NOP,21,1297.0,-0.39013383328670853,rookie_scale,3353040.0,3,-10200319.117386699,above_cap_below_tax,1.0,-10200319.117386699
Nicolas Batum,LAC,37,1295.0,-0.44928075116487926,open_negotiation,5601600.0,2,-9945964.937712815,taxpayer,2.0,-19891929.87542563
Ziaire Williams,BRK,24,1281.0,-0.5708605268033413,open_negotiation,6250000.0,2,-12371365.852023661,below_cap,0.5,-6185682.926011831
Jordan Clarkson,NYK,33,1279.0,-0.7433723706146725,open_negotiation,12947835.0,1,-13723883.82664345,first_apron,2.3,-31564932.801279932
